no,AntennaID,Rstate,Astate,IP,note
1,M01,1.0,1,192.168.0.79,우측제일안쪽
2,M02,1.0,1.0,192.168.0.79,좌측제일안쪽
3,M03,1.0,1.0,192.168.0.83,중앙 안쪽
4,M04,1.0,1.0,192.168.0.83,중앙 안쪽
5,M05,,,192.168.1.104,중앙 안쪽
6,M06,,,192.168.1.104,중앙 안쪽
7,M07,,,192.168.1.105,중앙 안쪽
8,M08,,,192.168.1.105,중앙 안쪽
9,M09,,,192.168.1.106,중앙 안쪽
10,M10,,,192.168.1.106,중앙 안쪽
11,M11,,,192.168.1.107,가운데 중심
12,M12,,,N,N
13,M13,,,N,N
14,M14,,,N,N
15,M15,,,N,N
16,M16,,,N,N
17,M17,,,N,N
18,M18,,,N,N
19,M19,,,N,N
20,M20,,,N,N
